cell,rank,mask_ratio,region,observed_steps,configured_steps,collapse_step,collapsed,grad_norm_mean,grad_norm_sample_std,grad_norm_min,grad_norm_max,source
r4_m0p05,4,0.05,left_sparse,12,200,11,True,2.02276575,2.2803810541878193,0.088742,7.739044,results/llada2_surface/peft_llada2_mini_r4_m0_05.json
r4_m0p10,4,0.1,left_sparse,12,200,11,True,0.9227013333333334,0.9280607581356586,0.006422,2.857543,results/llada2_surface/peft_llada2_mini_r4_m0_1.json
r4_m0p15,4,0.15,middle,12,200,11,True,0.6645596666666667,0.5106894883334122,0.014936,1.58228,results/llada2_surface/peft_llada2_mini_r4_m0_15.json
r4_m0p20,4,0.2,middle,12,200,11,True,0.7389735833333333,0.5087270645429108,0.00833,2.116296,results/llada2_surface/peft_llada2_mini_r4_m0_2.json
r4_m0p30,4,0.3,stable_window,12,200,11,True,0.8309200833333333,0.3723812556554611,0.396111,1.53324,results/llada2_surface/peft_llada2_mini_r4_m0_3.json
r4_m0p40,4,0.4,stable_window,12,200,11,True,0.89831925,0.29404150837474535,0.534306,1.324782,results/llada2_surface/peft_llada2_mini_r4_m0_4.json
r4_m0p50,4,0.5,middle,12,200,11,True,1.14736825,0.45400191885379937,0.467016,1.978965,results/llada2_surface/peft_llada2_mini_r4_m0_5.json
r4_m0p60,4,0.6,middle,12,200,11,True,1.0983626666666666,0.3907881511959536,0.281271,1.597227,results/llada2_surface/peft_llada2_mini_r4_m0_6.json
r4_m0p70,4,0.7,middle,12,200,11,True,1.5900835833333333,1.3110476545875585,0.466542,5.363264,results/llada2_surface/peft_llada2_mini_r4_m0_7.json
r4_m0p80,4,0.8,high_mask,12,200,11,True,1.4241920833333335,0.8045363761154571,0.462061,3.587872,results/llada2_surface/peft_llada2_mini_r4_m0_8.json
r4_m0p90,4,0.9,high_mask,12,200,11,True,1.7742108333333333,1.021062069637549,0.711558,3.999683,results/llada2_surface/peft_llada2_mini_r4_m0_9.json
r4_m0p95,4,0.95,high_mask,12,200,11,True,1.4075413333333333,0.7951531041357934,0.335441,2.722999,results/llada2_surface/peft_llada2_mini_r4_m0_95.json
r8_m0p05,8,0.05,left_sparse,12,200,11,True,2.9844201666666663,4.430185383853014,0.003053,13.874751,results/llada2_surface/peft_llada2_mini_r8_m0_05.json
r8_m0p10,8,0.1,left_sparse,12,200,11,True,1.1576655,1.1784265035557526,0.001482,3.305215,results/llada2_surface/peft_llada2_mini_r8_m0_1.json
r8_m0p15,8,0.15,middle,12,200,11,True,0.8887809166666667,0.6693074241563518,0.021868,1.924553,results/llada2_surface/peft_llada2_mini_r8_m0_15.json
r8_m0p20,8,0.2,middle,12,200,11,True,1.0283576666666667,0.6931006398176942,0.012277,2.96761,results/llada2_surface/peft_llada2_mini_r8_m0_2.json
r8_m0p30,8,0.3,stable_window,12,200,11,True,1.1516898333333334,0.5239177313870832,0.57579,2.147112,results/llada2_surface/peft_llada2_mini_r8_m0_3.json
r8_m0p40,8,0.4,stable_window,12,200,11,True,1.1848591666666668,0.34709237578432356,0.764165,1.703273,results/llada2_surface/peft_llada2_mini_r8_m0_4.json
r8_m0p50,8,0.5,middle,12,200,11,True,1.4584385833333335,0.5076768648809556,0.722254,2.369578,results/llada2_surface/peft_llada2_mini_r8_m0_5.json
r8_m0p60,8,0.6,middle,12,200,11,True,1.5074855833333334,0.6174980928348109,0.384873,2.980772,results/llada2_surface/peft_llada2_mini_r8_m0_6.json
r8_m0p70,8,0.7,middle,12,200,11,True,1.5562530833333332,0.5645308657132863,0.636551,2.684992,results/llada2_surface/peft_llada2_mini_r8_m0_7.json
r8_m0p80,8,0.8,high_mask,12,200,11,True,2.085093666666667,1.2619406239435236,0.599734,4.743368,results/llada2_surface/peft_llada2_mini_r8_m0_8.json
r8_m0p90,8,0.9,high_mask,12,200,11,True,2.294006,1.467201933581617,0.823875,5.15619,results/llada2_surface/peft_llada2_mini_r8_m0_9.json
r8_m0p95,8,0.95,high_mask,12,200,11,True,1.6402349999999999,0.835758326099662,0.44223,2.845408,results/llada2_surface/peft_llada2_mini_r8_m0_95.json
r16_m0p05,16,0.05,left_sparse,12,200,11,True,3.5865054166666663,5.849091943173315,1.2e-05,18.379333,results/llada2_surface/peft_llada2_mini_r16_m0_05.json
r16_m0p10,16,0.1,left_sparse,12,200,11,True,1.5223244166666667,1.882438450105919,0.000984,5.723695,results/llada2_surface/peft_llada2_mini_r16_m0_1.json
r16_m0p15,16,0.15,middle,12,200,11,True,1.2715208333333334,1.0255529979855953,0.025418,3.270677,results/llada2_surface/peft_llada2_mini_r16_m0_15.json
r16_m0p20,16,0.2,middle,12,200,11,True,1.3614424999999999,0.8707180526692271,0.017673,3.751277,results/llada2_surface/peft_llada2_mini_r16_m0_2.json
r16_m0p30,16,0.3,stable_window,12,200,11,True,1.53994575,0.6943094448763952,0.724892,2.815666,results/llada2_surface/peft_llada2_mini_r16_m0_3.json
r16_m0p40,16,0.4,stable_window,12,200,11,True,1.6054323333333331,0.4968056888801667,0.880212,2.466315,results/llada2_surface/peft_llada2_mini_r16_m0_4.json
r16_m0p50,16,0.5,middle,12,200,11,True,1.9967468333333331,0.8334709766362957,1.106835,3.519797,results/llada2_surface/peft_llada2_mini_r16_m0_5.json
