cell,rank,mask_ratio,region,observed_steps,configured_steps,collapse_step,collapsed,grad_norm_mean,grad_norm_sample_std,grad_norm_min,grad_norm_max,source
r4_m0p05,4,0.05,left_sparse,200,200,,False,8.95902205,5.729115365943653,1.489035,35.548892,results/peft_results/peft_results_w7_critical12_llada20mini/r4_m0p05_s1337.json
r4_m0p05,4,0.05,left_sparse,200,200,,False,8.26934512,3.794912529241758,2.370636,22.773313,results/peft_results/peft_results_w7_critical12_llada20mini/r4_m0p05_s42.json
r4_m0p05,4,0.05,left_sparse,200,200,,False,9.086454475,4.777198206719365,1.979036,30.940503,results/peft_results/peft_results_w7_critical12_llada20mini/r4_m0p05_s7.json
r4_m0p20,4,0.2,middle,200,200,,False,5.00004726,2.4882119657278654,1.635879,17.424864,results/peft_results/peft_results_w7_critical12_llada20mini/r4_m0p20_s1337.json
r4_m0p20,4,0.2,middle,200,200,,False,4.7478460899999995,2.053023587851424,1.472962,11.38295,results/peft_results/peft_results_w7_critical12_llada20mini/r4_m0p20_s42.json
r4_m0p20,4,0.2,middle,200,200,,False,5.255794355000001,3.1658737317540604,1.593457,23.556471,results/peft_results/peft_results_w7_critical12_llada20mini/r4_m0p20_s7.json
r4_m0p40,4,0.4,stable_window,200,200,,False,4.2525136450000005,2.259976887072445,1.328736,17.308518,results/peft_results/peft_results_w7_critical12_llada20mini/r4_m0p40_s1337.json
r4_m0p40,4,0.4,stable_window,200,200,,False,4.1393739499999995,2.2916459326045993,1.340236,15.354428,results/peft_results/peft_results_w7_critical12_llada20mini/r4_m0p40_s42.json
r4_m0p40,4,0.4,stable_window,200,200,,False,4.416332665,2.473624212688034,1.667183,18.484762,results/peft_results/peft_results_w7_critical12_llada20mini/r4_m0p40_s7.json
r4_m0p90,4,0.9,high_mask,200,200,,False,4.3603363250000005,3.9450614075099173,1.056858,21.23988,results/peft_results/peft_results_w7_critical12_llada20mini/r4_m0p90_s1337.json
r4_m0p90,4,0.9,high_mask,200,200,,False,5.077382405,11.661066259989008,1.131909,160.990543,results/peft_results/peft_results_w7_critical12_llada20mini/r4_m0p90_s42.json
r4_m0p90,4,0.9,high_mask,200,200,,False,4.88016119,5.194682565610738,1.168054,44.752011,results/peft_results/peft_results_w7_critical12_llada20mini/r4_m0p90_s7.json
r16_m0p05,16,0.05,left_sparse,200,200,,False,8.15488676,4.815851605476348,0.941319,26.986698,results/peft_results/peft_results_w7_critical12_llada20mini/r16_m0p05_s1337.json
r16_m0p05,16,0.05,left_sparse,200,200,,False,8.620936775,5.382524797009657,1.225201,53.478988,results/peft_results/peft_results_w7_critical12_llada20mini/r16_m0p05_s42.json
r16_m0p05,16,0.05,left_sparse,200,200,,False,7.9675919099999994,4.585180702082343,1.32575,45.00918,results/peft_results/peft_results_w7_critical12_llada20mini/r16_m0p05_s7.json
r16_m0p20,16,0.2,middle,200,200,,False,5.685265095,5.372295271275012,1.684318,52.854827,results/peft_results/peft_results_w7_critical12_llada20mini/r16_m0p20_s1337.json
r16_m0p20,16,0.2,middle,200,200,,False,4.818654675,2.1138360206033893,1.715079,12.589534,results/peft_results/peft_results_w7_critical12_llada20mini/r16_m0p20_s42.json
r16_m0p20,16,0.2,middle,200,200,,False,4.7256986,2.490265337808464,1.539082,16.225674,results/peft_results/peft_results_w7_critical12_llada20mini/r16_m0p20_s7.json
r16_m0p40,16,0.4,stable_window,200,200,,False,4.2863943,2.623908296303689,1.447999,17.590395,results/peft_results/peft_results_w7_critical12_llada20mini/r16_m0p40_s1337.json
r16_m0p40,16,0.4,stable_window,200,200,,False,4.1296701250000005,2.554870532702406,1.313802,19.190749,results/peft_results/peft_results_w7_critical12_llada20mini/r16_m0p40_s42.json
r16_m0p40,16,0.4,stable_window,200,200,,False,4.07428103,2.3790813823753325,1.589984,15.369084,results/peft_results/peft_results_w7_critical12_llada20mini/r16_m0p40_s7.json
r16_m0p90,16,0.9,high_mask,200,200,,False,4.05552637,3.8603797895732748,1.258144,34.321262,results/peft_results/peft_results_w7_critical12_llada20mini/r16_m0p90_s1337.json
r16_m0p90,16,0.9,high_mask,200,200,,False,4.4406432,3.9562042937064117,1.317544,29.401295,results/peft_results/peft_results_w7_critical12_llada20mini/r16_m0p90_s42.json
r16_m0p90,16,0.9,high_mask,200,200,,False,4.03350465,3.718291254577902,1.156419,35.093802,results/peft_results/peft_results_w7_critical12_llada20mini/r16_m0p90_s7.json
r64_m0p05,64,0.05,left_sparse,200,200,,False,8.252364385,5.4528284350526715,1.294309,34.958474,results/peft_results/peft_results_w7_critical12_llada20mini/r64_m0p05_s1337.json
r64_m0p05,64,0.05,left_sparse,200,200,,False,7.9844128450000005,6.906680797364466,1.39909,76.368405,results/peft_results/peft_results_w7_critical12_llada20mini/r64_m0p05_s42.json
r64_m0p05,64,0.05,left_sparse,200,200,,False,7.61540332,5.594215406115833,0.773025,40.343069,results/peft_results/peft_results_w7_critical12_llada20mini/r64_m0p05_s7.json
r64_m0p20,64,0.2,middle,200,200,,False,4.9240462350000005,2.8679024547961616,1.356251,21.560332,results/peft_results/peft_results_w7_critical12_llada20mini/r64_m0p20_s1337.json
r64_m0p20,64,0.2,middle,200,200,,False,4.988504485,6.042203799043472,1.476627,81.582247,results/peft_results/peft_results_w7_critical12_llada20mini/r64_m0p20_s42.json
r64_m0p20,64,0.2,middle,200,200,,False,4.89619818,2.515273856142457,1.460513,16.513976,results/peft_results/peft_results_w7_critical12_llada20mini/r64_m0p20_s7.json
r64_m0p40,64,0.4,stable_window,200,200,,False,4.1171169800000005,2.803834803958648,1.413089,28.20194,results/peft_results/peft_results_w7_critical12_llada20mini/r64_m0p40_s1337.json
r64_m0p40,64,0.4,stable_window,200,200,,False,4.65245311,3.5929707116272076,1.016161,30.746955,results/peft_results/peft_results_w7_critical12_llada20mini/r64_m0p40_s42.json
r64_m0p40,64,0.4,stable_window,200,200,,False,4.408547095,3.094262842710852,1.183739,27.220246,results/peft_results/peft_results_w7_critical12_llada20mini/r64_m0p40_s7.json
