rank,mask,n,collapsed_count,top1_warning_count,final_loss_mean,final_loss_median,final_loss_std,final_loss_cv,final_loss_min,final_loss_max,eval_holdout_loss_mean,eval_holdout_loss_median,eval_holdout_loss_std,eval_holdout_loss_cv,eval_holdout_loss_min,eval_holdout_loss_max,max_grad_norm_mean,max_grad_norm_median,max_grad_norm_std,max_grad_norm_cv,max_grad_norm_min,max_grad_norm_max,wall_time_s_mean,wall_time_s_median,wall_time_s_std,wall_time_s_cv,wall_time_s_min,wall_time_s_max
4,0.05,3,0,3,1.9880543333333334,2.068605,0.18969442013231,0.09541712062479345,1.771377,2.124181,4.865874333333333,4.934932,0.1439563995254579,0.029584898758953683,4.7004,4.962291,29.754236039939283,30.940503440019018,6.469874325022375,0.21744380586138476,22.77331312740854,35.54889155239029,2134.0,2139.13,13.01663935123056,0.006099643557277676,2119.2,2143.67
4,0.2,3,0,3,1.8448453333333332,1.923193,0.1653801405076598,0.08964444743389138,1.654851,1.956492,4.712153333333333,4.732063,0.13026169222121053,0.027643771967213265,4.573083,4.831314,17.454761726792153,17.424863722903893,6.0868154265181404,0.3487194796349007,11.382950373791967,23.556471083680595,2062.46,2061.3,2.309891772356325,0.0011199692466066372,2060.96,2065.12
4,0.4,3,0,3,2.012094,2.078865,0.2872314026721313,0.14275247710699965,1.697358,2.260059,4.702174,4.76918,0.1335922998828903,0.028410752108044127,4.54834,4.789002,17.04923608375073,17.308517901327,1.581191998282373,0.09274268891081718,15.354428142426464,18.48476220749873,2046.39,2058.35,22.629529380877603,0.011058268160457001,2020.29,2060.53
4,0.9,3,0,3,2.0278533333333333,1.993967,0.08280703319364444,0.04083482361987608,1.967364,2.122229,4.728775,4.746669,0.146752495893596,0.031033934981807343,4.573896,4.86576,75.6608114061291,44.752011330731236,74.82698306606783,0.9889793894016615,21.239879936965654,160.9905429506904,2132.4533333333334,2138.08,13.341699042226049,0.006256502233214661,2117.22,2142.06
16,0.05,3,0,3,2.1555999999999997,2.240067,0.3551672082597153,0.1647648952772849,1.765814,2.460919,4.745788666666666,4.828186,0.15014478752635183,0.03163747863046125,4.572486,4.836694,41.824955028878115,45.0091795376542,13.53014509192055,0.32349455205818245,26.986697602527627,53.47898794645252,2044.1566666666668,2062.34,34.76586304600157,0.017007435688719996,2004.07,2066.06
16,0.2,3,0,3,1.9003316666666668,1.930039,0.28679229197510414,0.15091696728822115,1.599842,2.171114,4.471189,4.455466,0.09764259100925159,0.021838171235716405,4.382362,4.575739,27.223345172692582,16.225674380703726,22.271843911234185,0.8181156198825562,12.589533969949533,52.85482716742449,2064.8399999999997,2064.93,6.365477201278795,0.003082794405996976,2058.43,2071.16
16,0.4,3,0,3,2.078608,2.139921,0.21477862884607504,0.10332810652420997,1.83984,2.256063,4.446098666666667,4.498199,0.09832619160901815,0.022115161848788964,4.332686,4.507411,17.383409388308316,17.590395452042294,1.9192223107640167,0.11040540252448072,15.369083591597866,19.19074912128479,2170.5333333333333,2169.27,2.2928657469055613,0.001056360532083771,2169.15,2173.18
16,0.9,3,0,3,2.0260906666666667,1.991863,0.09741485869380166,0.04808020701959455,1.950409,2.136,4.5325413333333335,4.550755,0.1625267334327905,0.03585774987588799,4.361675,4.685194,32.93878630229002,34.32126216631105,3.0878131755117018,0.09374398762522182,29.40129459190465,35.09380214865436,2152.6033333333335,2154.94,6.488623377368511,0.0030143144707115155,2145.27,2157.6
64,0.05,3,0,3,2.105463,2.163602,0.22934557711235676,0.10892880906116933,1.852643,2.300144,4.760883,4.704472,0.1134995195892919,0.023840014465655195,4.686641,4.891536,50.55664930933443,40.34306907414752,22.515183801212594,0.44534564906491036,34.95847418457755,76.36840466927822,2156.21,2157.61,3.3752777663474354,0.0015653752493251748,2152.36,2158.66
64,0.2,3,0,3,1.8504976666666668,1.88254,0.09795810489353772,0.05293608668525983,1.740531,1.928422,4.408871333333333,4.466977,0.12043417571575511,0.027316328060020906,4.270401,4.489236,39.88551839022021,21.560332243559113,36.19847142990246,0.9075592568649727,16.513975569399065,81.58224735770246,2171.3733333333334,2171.13,3.461420710247857,0.0015941158791584389,2168.04,2174.95
64,0.4,3,0,3,2.0625376666666666,2.183429,0.2764680573598572,0.13404267074873163,1.746214,2.25797,4.362943666666666,4.410824,0.1619034905501833,0.037108774011258144,4.1825,4.495507,28.723046719496296,28.201939943041005,1.8201876768383198,0.06337028570171958,27.220245641213207,30.746954574234678,2153.13,2154.04,5.1259438155327315,0.002380694066560185,2147.61,2157.74
64,0.9,3,0,3,2.003950333333333,1.944717,0.12010126917869489,0.059932258390316843,1.924972,2.142162,4.615555,4.69909,0.15571653072490435,0.033737336187068374,4.435896,4.711679,101.45785151461888,118.91353356382922,55.55745909084467,0.5475915196453721,39.26875691531219,146.19126406471523,2155.9500000000003,2157.61,2.9622288905483978,0.0013739784737811162,2152.53,2157.71
